problem_idx,description,type,gold,question,question_orig,options,solved
184,JEE Adv 2022 Paper 1,MCQ,B,"Let $p, q, r$ be nonzero real numbers that are, respectively, the $10^{\text {th }}, 100^{\text {th }}$ and $1000^{\text {th }}$ terms of a harmonic progression. Consider the system of linear equations

\[
\begin{gathered}

x+y+z=1 \\

10 x+100 y+1000 z=0 \\

q r x+p r y+p q z=0

\end{gathered}
\]

List-I
(I) If $\frac{q}{r}=10$, then the system of linear equations has
(II) If $\frac{p}{r} \neq 100$, then the system of linear equations has
(III) If $\frac{p}{q} \neq 10$, then the system of linear equations has
(IV) If $\frac{p}{q}=10$, then the system of linear equations has

List-II
(P) $x=0, \quad y=\frac{10}{9}, z=-\frac{1}{9}$ as a solution
(Q) $x=\frac{10}{9}, y=-\frac{1}{9}, z=0$ as a solution
(III) If $\frac{p}{q} \neq 10$, then the system of linear
(R) infinitely many solutions
(IV) If $\frac{p}{q}=10$, then the system of linear
(S) no solution
(T) at least one solution

The correct option is:","Let $p, q, r$ be nonzero real numbers that are, respectively, the $10^{\text {th }}, 100^{\text {th }}$ and $1000^{\text {th }}$ terms of a harmonic progression. Consider the system of linear equations

\[
\begin{gathered}

x+y+z=1 \\

10 x+100 y+1000 z=0 \\

q r x+p r y+p q z=0

\end{gathered}
\]

List-I
(I) If $\frac{q}{r}=10$, then the system of linear equations has
(II) If $\frac{p}{r} \neq 100$, then the system of linear equations has
(III) If $\frac{p}{q} \neq 10$, then the system of linear equations has
(IV) If $\frac{p}{q}=10$, then the system of linear equations has

List-II
(P) $x=0, \quad y=\frac{10}{9}, z=-\frac{1}{9}$ as a solution
(Q) $x=\frac{10}{9}, y=-\frac{1}{9}, z=0$ as a solution
(III) If $\frac{p}{q} \neq 10$, then the system of linear
(R) infinitely many solutions
(IV) If $\frac{p}{q}=10$, then the system of linear
(S) no solution
(T) at least one solution

The correct option is:

(A) (I) $\rightarrow$ (T); (II) $\rightarrow$ (R); (III) $\rightarrow$ (S); (IV) $\rightarrow$ (T)

(B) (I) $\rightarrow$ (Q); (II) $\rightarrow$ (S); (III) $\rightarrow$ (S); (IV) $\rightarrow$ (R)

(C) (I) $\rightarrow$ (Q); (II) $\rightarrow$ (R); (III) $\rightarrow$ (P); (IV) $\rightarrow$ (R)

(D) (I) $\rightarrow$ (T); (II) $\rightarrow$ (S); (III) $\rightarrow$ (P); (IV) $\rightarrow$ (T)","{""A"": ""(I) $\\rightarrow$ (T); (II) $\\rightarrow$ (R); (III) $\\rightarrow$ (S); (IV) $\\rightarrow$ (T)"", ""B"": ""(I) $\\rightarrow$ (Q); (II) $\\rightarrow$ (S); (III) $\\rightarrow$ (S); (IV) $\\rightarrow$ (R)"", ""C"": ""(I) $\\rightarrow$ (Q); (II) $\\rightarrow$ (R); (III) $\\rightarrow$ (P); (IV) $\\rightarrow$ (R)"", ""D"": ""(I) $\\rightarrow$ (T); (II) $\\rightarrow$ (S); (III) $\\rightarrow$ (P); (IV) $\\rightarrow$ (T)""}",no
185,JEE Adv 2022 Paper 1,MCQ,C,"Consider the ellipse

\[
\frac{x^{2}}{4}+\frac{y^{2}}{3}=1
\]

Let $H(\alpha, 0), 0<\alpha<2$, be a point. A straight line drawn through $H$ parallel to the $y$-axis crosses the ellipse and its auxiliary circle at points $E$ and $F$ respectively, in the first quadrant. The tangent to the ellipse at the point $E$ intersects the positive $x$-axis at a point $G$. Suppose the straight line joining $F$ and the origin makes an angle $\phi$ with the positive $x$-axis.

List-I
(I) If $\phi=\frac{\pi}{4}$, then the area of the triangle $F G H$ is
(II) If $\phi=\frac{\pi}{3}$, then the area of the triangle $F G H$ is
(III) If $\phi=\frac{\pi}{6}$, then the area of the triangle $F G H$ is
(IV) If $\phi=\frac{\pi}{12}$, then the area of the triangle $F G H$ is

List-II
(P) $\frac{(\sqrt{3}-1)^4}{8}$
(Q) 1
(R) $\frac{3}{4}$
(S) $\frac{1}{2 \sqrt{3}}$
(T) $\frac{3 \sqrt{3}}{2}$

The correct option is:","Consider the ellipse

\[
\frac{x^{2}}{4}+\frac{y^{2}}{3}=1
\]

Let $H(\alpha, 0), 0<\alpha<2$, be a point. A straight line drawn through $H$ parallel to the $y$-axis crosses the ellipse and its auxiliary circle at points $E$ and $F$ respectively, in the first quadrant. The tangent to the ellipse at the point $E$ intersects the positive $x$-axis at a point $G$. Suppose the straight line joining $F$ and the origin makes an angle $\phi$ with the positive $x$-axis.

List-I
(I) If $\phi=\frac{\pi}{4}$, then the area of the triangle $F G H$ is
(II) If $\phi=\frac{\pi}{3}$, then the area of the triangle $F G H$ is
(III) If $\phi=\frac{\pi}{6}$, then the area of the triangle $F G H$ is
(IV) If $\phi=\frac{\pi}{12}$, then the area of the triangle $F G H$ is

List-II
(P) $\frac{(\sqrt{3}-1)^4}{8}$
(Q) 1
(R) $\frac{3}{4}$
(S) $\frac{1}{2 \sqrt{3}}$
(T) $\frac{3 \sqrt{3}}{2}$

The correct option is:

(A) (I) $\rightarrow$ (R); (II) $\rightarrow$ (S); (III) $\rightarrow$ (Q); (IV) $\rightarrow$ (P)

(B) $\quad$ (I) $\rightarrow$ (R); (II) $\rightarrow$ (T); (III) $\rightarrow$ (S); (IV) $\rightarrow$ (P)

(C) $\quad$ (I) $\rightarrow$ (Q); (II) $\rightarrow$ (T); (III) $\rightarrow$ (S); (IV) $\rightarrow$ (P)

(D) $\quad$ (I) $\rightarrow$ (Q); (II) $\rightarrow$ (S); (III) $\rightarrow$ (Q); (IV) $\rightarrow$ (P)","{""A"": ""(I) $\\rightarrow$ (R); (II) $\\rightarrow$ (S); (III) $\\rightarrow$ (Q); (IV) $\\rightarrow$ (P)"", ""B"": ""$\\quad$ (I) $\\rightarrow$ (R); (II) $\\rightarrow$ (T); (III) $\\rightarrow$ (S); (IV) $\\rightarrow$ (P)"", ""C"": ""$\\quad$ (I) $\\rightarrow$ (Q); (II) $\\rightarrow$ (T); (III) $\\rightarrow$ (S); (IV) $\\rightarrow$ (P)"", ""D"": ""$\\quad$ (I) $\\rightarrow$ (Q); (II) $\\rightarrow$ (S); (III) $\\rightarrow$ (Q); (IV) $\\rightarrow$ (P)""}",no
186,JEE Adv 2022 Paper 2,Integer,1,"Let $\alpha$ and $\beta$ be real numbers such that $-\frac{\pi}{4}<\beta<0<\alpha<\frac{\pi}{4}$. If $\sin (\alpha+\beta)=\frac{1}{3}$ and $\cos (\alpha-\beta)=\frac{2}{3}$, then what is the greatest integer less than or equal to

\[
\left(\frac{\sin \alpha}{\cos \beta}+\frac{\cos \beta}{\sin \alpha}+\frac{\cos \alpha}{\sin \beta}+\frac{\sin \beta}{\cos \alpha}\right)^{2}
\]?","Let $\alpha$ and $\beta$ be real numbers such that $-\frac{\pi}{4}<\beta<0<\alpha<\frac{\pi}{4}$. If $\sin (\alpha+\beta)=\frac{1}{3}$ and $\cos (\alpha-\beta)=\frac{2}{3}$, then what is the greatest integer less than or equal to

\[
\left(\frac{\sin \alpha}{\cos \beta}+\frac{\cos \beta}{\sin \alpha}+\frac{\cos \alpha}{\sin \beta}+\frac{\sin \beta}{\cos \alpha}\right)^{2}
\]?",,no
187,JEE Adv 2022 Paper 2,Integer,8,"If $y(x)$ is the solution of the differential equation

\[
x d y-\left(y^{2}-4 y\right) d x=0 \text { for } x>0, \quad y(1)=2,
\]

and the slope of the curve $y=y(x)$ is never zero, then what is the value of $10 y(\sqrt{2})$?","If $y(x)$ is the solution of the differential equation

\[
x d y-\left(y^{2}-4 y\right) d x=0 \text { for } x>0, \quad y(1)=2,
\]

and the slope of the curve $y=y(x)$ is never zero, then what is the value of $10 y(\sqrt{2})$?",,no
188,JEE Adv 2022 Paper 2,Numeric,5,"What is the greatest integer less than or equal to

\[
\int_{1}^{2} \log _{2}\left(x^{3}+1\right) d x+\int_{1}^{\log _{2} 9}\left(2^{x}-1\right)^{\frac{1}{3}} d x
\]?","What is the greatest integer less than or equal to

\[
\int_{1}^{2} \log _{2}\left(x^{3}+1\right) d x+\int_{1}^{\log _{2} 9}\left(2^{x}-1\right)^{\frac{1}{3}} d x
\]?",,no
189,JEE Adv 2022 Paper 2,Integer,1,"What is the product of all positive real values of $x$ satisfying the equation

\[
x^{\left(16\left(\log _{5} x\right)^{3}-68 \log _{5} x\right)}=5^{-16}
\]?","What is the product of all positive real values of $x$ satisfying the equation

\[
x^{\left(16\left(\log _{5} x\right)^{3}-68 \log _{5} x\right)}=5^{-16}
\]?",,no
190,JEE Adv 2022 Paper 2,Integer,5,"If

\[
\beta=\lim _{x \rightarrow 0} \frac{e^{x^{3}}-\left(1-x^{3}\right)^{\frac{1}{3}}+\left(\left(1-x^{2}\right)^{\frac{1}{2}}-1\right) \sin x}{x \sin ^{2} x},
\]

then what is the value of $6 \beta$?","If

\[
\beta=\lim _{x \rightarrow 0} \frac{e^{x^{3}}-\left(1-x^{3}\right)^{\frac{1}{3}}+\left(\left(1-x^{2}\right)^{\frac{1}{2}}-1\right) \sin x}{x \sin ^{2} x},
\]

then what is the value of $6 \beta$?",,no
191,JEE Adv 2022 Paper 2,Integer,3,"Let $\beta$ be a real number. Consider the matrix

\[
A=\left(\begin{array}{ccc}

\beta & 0 & 1 \\

2 & 1 & -2 \\

3 & 1 & -2

\end{array}\right)
\]

If $A^{7}-(\beta-1) A^{6}-\beta A^{5}$ is a singular matrix, then what is the value of $9 \beta$?","Let $\beta$ be a real number. Consider the matrix

\[
A=\left(\begin{array}{ccc}

\beta & 0 & 1 \\

2 & 1 & -2 \\

3 & 1 & -2

\end{array}\right)
\]

If $A^{7}-(\beta-1) A^{6}-\beta A^{5}$ is a singular matrix, then what is the value of $9 \beta$?",,no
192,JEE Adv 2022 Paper 2,Integer,7,"Consider the hyperbola

\[
\frac{x^{2}}{100}-\frac{y^{2}}{64}=1
\]

with foci at $S$ and $S_{1}$, where $S$ lies on the positive $x$-axis. Let $P$ be a point on the hyperbola, in the first quadrant. Let $\angle S P S_{1}=\alpha$, with $\alpha<\frac{\pi}{2}$. The straight line passing through the point $S$ and having the same slope as that of the tangent at $P$ to the hyperbola, intersects the straight line $S_{1} P$ at $P_{1}$. Let $\delta$ be the distance of $P$ from the straight line $S P_{1}$, and $\beta=S_{1} P$. Then what is the greatest integer less than or equal to $\frac{\beta \delta}{9} \sin \frac{\alpha}{2}$?","Consider the hyperbola

\[
\frac{x^{2}}{100}-\frac{y^{2}}{64}=1
\]

with foci at $S$ and $S_{1}$, where $S$ lies on the positive $x$-axis. Let $P$ be a point on the hyperbola, in the first quadrant. Let $\angle S P S_{1}=\alpha$, with $\alpha<\frac{\pi}{2}$. The straight line passing through the point $S$ and having the same slope as that of the tangent at $P$ to the hyperbola, intersects the straight line $S_{1} P$ at $P_{1}$. Let $\delta$ be the distance of $P$ from the straight line $S P_{1}$, and $\beta=S_{1} P$. Then what is the greatest integer less than or equal to $\frac{\beta \delta}{9} \sin \frac{\alpha}{2}$?",,no
193,JEE Adv 2022 Paper 2,Integer,6,"Consider the functions $f, g: \mathbb{R} \rightarrow \mathbb{R}$ defined by

\[
f(x)=x^{2}+\frac{5}{12} \quad \text { and } \quad g(x)= \begin{cases}2\left(1-\frac{4|x|}{3}\right), & |x| \leq \frac{3}{4} \\ 0, & |x|>\frac{3}{4}\end{cases}
\]

If $\alpha$ is the area of the region

\[
\left\{(x, y) \in \mathbb{R} \times \mathbb{R}:|x| \leq \frac{3}{4}, 0 \leq y \leq \min \{f(x), g(x)\}\right\}
\]

then what is the value of $9 \alpha$?","Consider the functions $f, g: \mathbb{R} \rightarrow \mathbb{R}$ defined by

\[
f(x)=x^{2}+\frac{5}{12} \quad \text { and } \quad g(x)= \begin{cases}2\left(1-\frac{4|x|}{3}\right), & |x| \leq \frac{3}{4} \\ 0, & |x|>\frac{3}{4}\end{cases}
\]

If $\alpha$ is the area of the region

\[
\left\{(x, y) \in \mathbb{R} \times \mathbb{R}:|x| \leq \frac{3}{4}, 0 \leq y \leq \min \{f(x), g(x)\}\right\}
\]

then what is the value of $9 \alpha$?",,no
194,JEE Adv 2022 Paper 2,MCQ(multiple),AB,"Let $P Q R S$ be a quadrilateral in a plane, where $Q R=1, \angle P Q R=\angle Q R S=70^{\circ}, \angle P Q S=15^{\circ}$ and $\angle P R S=40^{\circ}$. If $\angle R P S=\theta^{\circ}, P Q=\alpha$ and $P S=\beta$, then the interval(s) that contain(s) the value of $4 \alpha \beta \sin \theta^{\circ}$ is/are","Let $P Q R S$ be a quadrilateral in a plane, where $Q R=1, \angle P Q R=\angle Q R S=70^{\circ}, \angle P Q S=15^{\circ}$ and $\angle P R S=40^{\circ}$. If $\angle R P S=\theta^{\circ}, P Q=\alpha$ and $P S=\beta$, then the interval(s) that contain(s) the value of $4 \alpha \beta \sin \theta^{\circ}$ is/are

(A) $(0, \sqrt{2})$

(B) $(1,2)$

(C) $(\sqrt{2}, 3)$

(D) $(2 \sqrt{2}, 3 \sqrt{2})$","{""A"": ""$(0, \\sqrt{2})$"", ""B"": ""$(1,2)$"", ""C"": ""$(\\sqrt{2}, 3)$"", ""D"": ""$(2 \\sqrt{2}, 3 \\sqrt{2})$""}",no
195,JEE Adv 2022 Paper 2,MCQ(multiple),ABC,"Let

\[
\alpha=\sum_{k=1}^{\infty} \sin ^{2 k}\left(\frac{\pi}{6}\right)
\]

Let $g:[0,1] \rightarrow \mathbb{R}$ be the function defined by

\[
g(x)=2^{\alpha x}+2^{\alpha(1-x)}
\]

Then, which of the following statements is/are TRUE ?","Let

\[
\alpha=\sum_{k=1}^{\infty} \sin ^{2 k}\left(\frac{\pi}{6}\right)
\]

Let $g:[0,1] \rightarrow \mathbb{R}$ be the function defined by

\[
g(x)=2^{\alpha x}+2^{\alpha(1-x)}
\]

Then, which of the following statements is/are TRUE ?

(A) The minimum value of $g(x)$ is $2^{\frac{7}{6}}$

(B) The maximum value of $g(x)$ is $1+2^{\frac{1}{3}}$

(C) The function $g(x)$ attains its maximum at more than one point

(D) The function $g(x)$ attains its minimum at more than one point","{""A"": ""The minimum value of $g(x)$ is $2^{\\frac{7}{6}}$"", ""B"": ""The maximum value of $g(x)$ is $1+2^{\\frac{1}{3}}$"", ""C"": ""The function $g(x)$ attains its maximum at more than one point"", ""D"": ""The function $g(x)$ attains its minimum at more than one point""}",no
196,JEE Adv 2022 Paper 2,MCQ(multiple),A,"Let $\bar{z}$ denote the complex conjugate of a complex number $z$. If $z$ is a non-zero complex number for which both real and imaginary parts of

\[
(\bar{z})^{2}+\frac{1}{z^{2}}
\]

are integers, then which of the following is/are possible value(s) of $|z|$ ?","Let $\bar{z}$ denote the complex conjugate of a complex number $z$. If $z$ is a non-zero complex number for which both real and imaginary parts of

\[
(\bar{z})^{2}+\frac{1}{z^{2}}
\]

are integers, then which of the following is/are possible value(s) of $|z|$ ?

(A) $\left(\frac{43+3 \sqrt{205}}{2}\right)^{\frac{1}{4}}$

(B) $\left(\frac{7+\sqrt{33}}{4}\right)^{\frac{1}{4}}$

(C) $\left(\frac{9+\sqrt{65}}{4}\right)^{\frac{1}{4}}$

(D) $\left(\frac{7+\sqrt{13}}{6}\right)^{\frac{1}{4}}$","{""A"": ""$\\left(\\frac{43+3 \\sqrt{205}}{2}\\right)^{\\frac{1}{4}}$"", ""B"": ""$\\left(\\frac{7+\\sqrt{33}}{4}\\right)^{\\frac{1}{4}}$"", ""C"": ""$\\left(\\frac{9+\\sqrt{65}}{4}\\right)^{\\frac{1}{4}}$"", ""D"": ""$\\left(\\frac{7+\\sqrt{13}}{6}\\right)^{\\frac{1}{4}}$""}",no
197,JEE Adv 2022 Paper 2,MCQ(multiple),CD,"Let $G$ be a circle of radius $R>0$. Let $G_{1}, G_{2}, \ldots, G_{n}$ be $n$ circles of equal radius $r>0$. Suppose each of the $n$ circles $G_{1}, G_{2}, \ldots, G_{n}$ touches the circle $G$ externally. Also, for $i=1,2, \ldots, n-1$, the circle $G_{i}$ touches $G_{i+1}$ externally, and $G_{n}$ touches $G_{1}$ externally. Then, which of the following statements is/are TRUE?","Let $G$ be a circle of radius $R>0$. Let $G_{1}, G_{2}, \ldots, G_{n}$ be $n$ circles of equal radius $r>0$. Suppose each of the $n$ circles $G_{1}, G_{2}, \ldots, G_{n}$ touches the circle $G$ externally. Also, for $i=1,2, \ldots, n-1$, the circle $G_{i}$ touches $G_{i+1}$ externally, and $G_{n}$ touches $G_{1}$ externally. Then, which of the following statements is/are TRUE?

(A) If $n=4$, then $(\sqrt{2}-1) r<R$

(B) If $n=5$, then $r<R$

(C) If $n=8$, then $(\sqrt{2}-1) r<R$

(D) If $n=12$, then $\sqrt{2}(\sqrt{3}+1) r>R$","{""A"": ""If $n=4$, then $(\\sqrt{2}-1) r<R$"", ""B"": ""If $n=5$, then $r<R$"", ""C"": ""If $n=8$, then $(\\sqrt{2}-1) r<R$"", ""D"": ""If $n=12$, then $\\sqrt{2}(\\sqrt{3}+1) r>R$""}",no
198,JEE Adv 2022 Paper 2,MCQ(multiple),BCD,"Let $\hat{i}, \hat{j}$ and $\hat{k}$ be the unit vectors along the three positive coordinate axes. Let

\[
\vec{a}=3 \hat{i}+\hat{j}-\hat{k},
\]
\[\vec{b}=\hat{i}+b_{2} \hat{j}+b_{3} \hat{k}, \quad b_{2}, b_{3} \in \mathbb{R},
\]
\[\vec{c}=c_{1} \hat{i}+c_{2} \hat{j}+c_{3} \hat{k}, \quad c_{1}, c_{2}, c_{3} \in \mathbb{R}
\]

be three vectors such that $b_{2} b_{3}>0, \vec{a} \cdot \vec{b}=0$ and

\[
\left(\begin{array}{ccc}

0 & -c_{3} & c_{2} \\

c_{3} & 0 & -c_{1} \\

-c_{2} & c_{1} & 0

\end{array}\right)\left(\begin{array}{l}

1 \\

b_{2} \\

b_{3}

\end{array}\right)=\left(\begin{array}{r}

3-c_{1} \\

1-c_{2} \\

-1-c_{3}

\end{array}\right) .
\]

Then, which of the following is/are TRUE ?","Let $\hat{i}, \hat{j}$ and $\hat{k}$ be the unit vectors along the three positive coordinate axes. Let

\[
\vec{a}=3 \hat{i}+\hat{j}-\hat{k},
\]
\[\vec{b}=\hat{i}+b_{2} \hat{j}+b_{3} \hat{k}, \quad b_{2}, b_{3} \in \mathbb{R},
\]
\[\vec{c}=c_{1} \hat{i}+c_{2} \hat{j}+c_{3} \hat{k}, \quad c_{1}, c_{2}, c_{3} \in \mathbb{R}
\]

be three vectors such that $b_{2} b_{3}>0, \vec{a} \cdot \vec{b}=0$ and

\[
\left(\begin{array}{ccc}

0 & -c_{3} & c_{2} \\

c_{3} & 0 & -c_{1} \\

-c_{2} & c_{1} & 0

\end{array}\right)\left(\begin{array}{l}

1 \\

b_{2} \\

b_{3}

\end{array}\right)=\left(\begin{array}{r}

3-c_{1} \\

1-c_{2} \\

-1-c_{3}

\end{array}\right) .
\]

Then, which of the following is/are TRUE ?

(A) $\vec{a} \cdot \vec{c}=0$

(B) $\vec{b} \cdot \vec{c}=0$

(C) $|\vec{b}|>\sqrt{10}$

(D) $|\vec{c}| \leq \sqrt{11}$","{""A"": ""$\\vec{a} \\cdot \\vec{c}=0$"", ""B"": ""$\\vec{b} \\cdot \\vec{c}=0$"", ""C"": ""$|\\vec{b}|>\\sqrt{10}$"", ""D"": ""$|\\vec{c}| \\leq \\sqrt{11}$""}",no
199,JEE Adv 2022 Paper 2,MCQ(multiple),C,"For $x \in \mathbb{R}$, let the function $y(x)$ be the solution of the differential equation

\[
\frac{d y}{d x}+12 y=\cos \left(\frac{\pi}{12} x\right), \quad y(0)=0
\]

Then, which of the following statements is/are TRUE?","For $x \in \mathbb{R}$, let the function $y(x)$ be the solution of the differential equation

\[
\frac{d y}{d x}+12 y=\cos \left(\frac{\pi}{12} x\right), \quad y(0)=0
\]

Then, which of the following statements is/are TRUE?

(A) $y(x)$ is an increasing function

(B) $y(x)$ is a decreasing function

(C) There exists a real number $\beta$ such that the line $y=\beta$ intersects the curve $y=y(x)$ at infinitely many points

(D) $y(x)$ is a periodic function","{""A"": ""$y(x)$ is an increasing function"", ""B"": ""$y(x)$ is a decreasing function"", ""C"": ""There exists a real number $\\beta$ such that the line $y=\\beta$ intersects the curve $y=y(x)$ at infinitely many points"", ""D"": ""$y(x)$ is a periodic function""}",no
200,JEE Adv 2022 Paper 2,MCQ,A,"Consider 4 boxes, where each box contains 3 red balls and 2 blue balls. Assume that all 20 balls are distinct. In how many different ways can 10 balls be chosen from these 4 boxes so that from each box at least one red ball and one blue ball are chosen?","Consider 4 boxes, where each box contains 3 red balls and 2 blue balls. Assume that all 20 balls are distinct. In how many different ways can 10 balls be chosen from these 4 boxes so that from each box at least one red ball and one blue ball are chosen?

(A) 21816

(B) 85536

(C) 12096

(D) 156816","{""A"": ""21816"", ""B"": ""85536"", ""C"": ""12096"", ""D"": ""156816""}",no
201,JEE Adv 2022 Paper 2,MCQ,A,"If $M=\left(\begin{array}{rr}\frac{5}{2} & \frac{3}{2} \\ -\frac{3}{2} & -\frac{1}{2}\end{array}\right)$, then which of the following matrices is equal to $M^{2022}$ ?","If $M=\left(\begin{array}{rr}\frac{5}{2} & \frac{3}{2} \\ -\frac{3}{2} & -\frac{1}{2}\end{array}\right)$, then which of the following matrices is equal to $M^{2022}$ ?

(A) $\left(\begin{array}{rr}3034 & 3033 \\ -3033 & -3032\end{array}\right)$

(B) $\left(\begin{array}{ll}3034 & -3033 \\ 3033 & -3032\end{array}\right)$

(C) $\left(\begin{array}{rr}3033 & 3032 \\ -3032 & -3031\end{array}\right)$

(D) $\left(\begin{array}{rr}3032 & 3031 \\ -3031 & -3030\end{array}\right)$","{""A"": ""$\\left(\\begin{array}{rr}3034 & 3033 \\\\ -3033 & -3032\\end{array}\\right)$"", ""B"": ""$\\left(\\begin{array}{ll}3034 & -3033 \\\\ 3033 & -3032\\end{array}\\right)$"", ""C"": ""$\\left(\\begin{array}{rr}3033 & 3032 \\\\ -3032 & -3031\\end{array}\\right)$"", ""D"": ""$\\left(\\begin{array}{rr}3032 & 3031 \\\\ -3031 & -3030\\end{array}\\right)$""}",no
202,JEE Adv 2022 Paper 2,MCQ,C,"Suppose that

Box-I contains 8 red, 3 blue and 5 green balls,

Box-II contains 24 red, 9 blue and 15 green balls,

Box-III contains 1 blue, 12 green and 3 yellow balls,

Box-IV contains 10 green, 16 orange and 6 white balls.

A ball is chosen randomly from Box-I; call this ball $b$. If $b$ is red then a ball is chosen randomly from Box-II, if $b$ is blue then a ball is chosen randomly from Box-III, and if $b$ is green then a ball is chosen randomly from Box-IV. The conditional probability of the event 'one of the chosen balls is white' given that the event 'at least one of the chosen balls is green' has happened, is equal to","Suppose that

Box-I contains 8 red, 3 blue and 5 green balls,

Box-II contains 24 red, 9 blue and 15 green balls,

Box-III contains 1 blue, 12 green and 3 yellow balls,

Box-IV contains 10 green, 16 orange and 6 white balls.

A ball is chosen randomly from Box-I; call this ball $b$. If $b$ is red then a ball is chosen randomly from Box-II, if $b$ is blue then a ball is chosen randomly from Box-III, and if $b$ is green then a ball is chosen randomly from Box-IV. The conditional probability of the event 'one of the chosen balls is white' given that the event 'at least one of the chosen balls is green' has happened, is equal to

(A) $\frac{15}{256}$

(B) $\frac{3}{16}$

(C) $\frac{5}{52}$

(D) $\frac{1}{8}$","{""A"": ""$\\frac{15}{256}$"", ""B"": ""$\\frac{3}{16}$"", ""C"": ""$\\frac{5}{52}$"", ""D"": ""$\\frac{1}{8}$""}",no
203,JEE Adv 2022 Paper 2,MCQ,B,"For positive integer $n$, define

\[
f(n)=n+\frac{16+5 n-3 n^{2}}{4 n+3 n^{2}}+\frac{32+n-3 n^{2}}{8 n+3 n^{2}}+\frac{48-3 n-3 n^{2}}{12 n+3 n^{2}}+\cdots+\frac{25 n-7 n^{2}}{7 n^{2}}
\]

Then, the value of $\lim _{n \rightarrow \infty} f(n)$ is equal to","For positive integer $n$, define

\[
f(n)=n+\frac{16+5 n-3 n^{2}}{4 n+3 n^{2}}+\frac{32+n-3 n^{2}}{8 n+3 n^{2}}+\frac{48-3 n-3 n^{2}}{12 n+3 n^{2}}+\cdots+\frac{25 n-7 n^{2}}{7 n^{2}}
\]

Then, the value of $\lim _{n \rightarrow \infty} f(n)$ is equal to

(A) $3+\frac{4}{3} \log _{e} 7$

(B) $4-\frac{3}{4} \log _{e}\left(\frac{7}{3}\right)$

(C) $4-\frac{4}{3} \log _{e}\left(\frac{7}{3}\right)$

(D) $3+\frac{3}{4} \log _{e} 7$","{""A"": ""$3+\\frac{4}{3} \\log _{e} 7$"", ""B"": ""$4-\\frac{3}{4} \\log _{e}\\left(\\frac{7}{3}\\right)$"", ""C"": ""$4-\\frac{4}{3} \\log _{e}\\left(\\frac{7}{3}\\right)$"", ""D"": ""$3+\\frac{3}{4} \\log _{e} 7$""}",no
204,JEE Adv 2023 Paper 1,MCQ(multiple),ACD,"Let $S=(0,1) \cup(1,2) \cup(3,4)$ and $T=\{0,1,2,3\}$. Then which of the following statements is(are) true?","Let $S=(0,1) \cup(1,2) \cup(3,4)$ and $T=\{0,1,2,3\}$. Then which of the following statements is(are) true?   



(A) There are infinitely many functions from $S$ to $T$



(B) There are infinitely many strictly increasing functions from $S$ to $T$



(C) The number of continuous functions from $S$ to $T$ is at most 120



(D) Every continuous function from $S$ to $T$ is differentiable","{""A"": ""There are infinitely many functions from $S$ to $T$"", ""B"": ""There are infinitely many strictly increasing functions from $S$ to $T$"", ""C"": ""The number of continuous functions from $S$ to $T$ is at most 120"", ""D"": ""Every continuous function from $S$ to $T$ is differentiable""}",no
205,JEE Adv 2023 Paper 1,MCQ(multiple),AC,"Let $T_{1}$ and $T_{2}$ be two distinct common tangents to the ellipse $E: \frac{x^{2}}{6}+\frac{y^{2}}{3}=1$ and the parabola $P: y^{2}=12 x$. Suppose that the tangent $T_{1}$ touches $P$ and $E$ at the points $A_{1}$ and $A_{2}$, respectively and the tangent $T_{2}$ touches $P$ and $E$ at the points $A_{4}$ and $A_{3}$, respectively. Then which of the following statements is(are) true?","Let $T_{1}$ and $T_{2}$ be two distinct common tangents to the ellipse $E: \frac{x^{2}}{6}+\frac{y^{2}}{3}=1$ and the parabola $P: y^{2}=12 x$. Suppose that the tangent $T_{1}$ touches $P$ and $E$ at the points $A_{1}$ and $A_{2}$, respectively and the tangent $T_{2}$ touches $P$ and $E$ at the points $A_{4}$ and $A_{3}$, respectively. Then which of the following statements is(are) true?



(A) The area of the quadrilateral $A_{1} A_{2} A_{3} A_{4}$ is 35 square units



(B) The area of the quadrilateral $A_{1} A_{2} A_{3} A_{4}$ is 36 square units



(C) The tangents $T_{1}$ and $T_{2}$ meet the $x$-axis at the point $(-3,0)$



(D) The tangents $T_{1}$ and $T_{2}$ meet the $x$-axis at the point $(-6,0)$","{""A"": ""The area of the quadrilateral $A_{1} A_{2} A_{3} A_{4}$ is 35 square units"", ""B"": ""The area of the quadrilateral $A_{1} A_{2} A_{3} A_{4}$ is 36 square units"", ""C"": ""The tangents $T_{1}$ and $T_{2}$ meet the $x$-axis at the point $(-3,0)$"", ""D"": ""The tangents $T_{1}$ and $T_{2}$ meet the $x$-axis at the point $(-6,0)$""}",no
